Country,Year,Risk Points for Foreign Debt as a % of GDP,Risk Points for Exchange Rate Stability,Risk Points for Debt Service as a % of XGS,Risk Points for Current Account as % of XGS,Risk Points for International Liquidity,Aggregate Financial Risk
United States,1986,10,10,7.83,8.75,2.13,38.71
United States,1987,10,10,7.13,8.79,2.54,38.46
United States,1988,10,10,6.75,9.38,2.17,38.3
United States,1989,10,10,6.5,9.88,2,38.38
United States,1990,10,10,6.5,10.5,2.04,39.04
United States,1991,10,10,7,11.42,2,40.42
United States,1992,9.88,10,7,11.5,2,40.38
United States,1993,9.5,10,7,11.25,1.83,39.58
United States,1994,9.5,10,6.96,10.63,1.71,38.8
United States,1995,9.5,10,6.88,10.38,1.5,38.26
United States,1996,8.71,10,7,10.88,1.33,37.92
United States,1997,9,9.75,7,10.25,0.79,36.79
United States,1998,9.08,9.88,7,10.54,0.92,37.42
United States,1999,9.5,9.46,7,10.17,0.5,36.63
United States,2000,9.5,6.79,7,9.54,0.5,33.33
United States,2001,9.5,9.71,7,9.67,0.5,36.38
United States,2002,9.5,9.29,7,9.54,0.5,35.83
United States,2003,9.5,7.83,7,8.29,0.5,33.12
United States,2004,8.67,8.5,7.42,8.04,0.5,33.13
United States,2005,5.63,9.67,8.25,7.88,0.5,31.93
United States,2006,5,9.71,8,7.58,0.5,30.79
United States,2007,5,9.08,8.5,8.5,0,31.08
United States,2008,5.46,8.75,8.96,9.88,0.04,33.09
United States,2009,5,9.25,8.5,9.96,0.46,33.17
United States,2010,5,9.5,10,12,0,36.5
United States,2011,5,9.21,9.58,11.75,0,35.54
United States,2012,5,9.92,7.46,10.5,0,32.88
United States,2013,5,9.96,7,10.83,0,32.79
Uruguay,1984,5.23,5,7.13,11.25,4.29,32.9
Uruguay,1985,5.5,5,4.54,11.92,3.67,30.63
Uruguay,1986,5.67,5,4.25,11.5,0.88,27.3
Uruguay,1987,5.79,5.33,5.21,12.71,3.71,32.75
Uruguay,1988,6.92,7,7.46,12.25,3.79,37.42
Uruguay,1989,7,7,7,12.04,3.79,36.83
Uruguay,1990,7.04,7.08,6.46,12.13,3.83,36.54
Uruguay,1991,7.92,8,7,12.67,3.13,38.72
Uruguay,1992,7.96,8,6.5,12.33,3.13,37.92
Uruguay,1993,7.5,8,7.5,11.92,3.33,38.25
Uruguay,1994,7.5,8,7.13,11.13,3.29,37.05
Uruguay,1995,7.5,8,5.79,11.5,3.13,35.92
Uruguay,1996,7.5,8,5.58,11.5,3.46,36.04
Uruguay,1997,6.83,7.92,6.13,11.58,3.17,35.63
Uruguay,1998,5.46,8.67,6.08,11.5,3.46,35.17
Uruguay,1999,5,9.13,6,11.5,3.5,35.13
Uruguay,2000,6,9.54,6,11,3.5,36.04
Uruguay,2001,6,8.88,6,11.17,3.5,35.55
Uruguay,2002,6,4.38,6,10.75,3.5,30.63
Uruguay,2003,4.17,5.38,5.5,11.92,0.58,27.55
Uruguay,2004,3.21,9.67,4.5,12.75,0,30.13
Uruguay,2005,3.42,9.38,5.46,12.17,0,30.43
Uruguay,2006,3.71,10,5.5,11.21,0,30.42
Uruguay,2007,4.42,9.96,5.96,11.46,0,31.8
Uruguay,2008,5.04,9.21,6.71,11.38,0.25,32.59
Uruguay,2009,5.83,7.79,7,11.46,2.42,34.5
Uruguay,2010,6.38,9.42,7.63,12.13,2.88,38.44
Uruguay,2011,6.33,9.92,8.33,11.83,4,40.41
Uruguay,2012,6.79,9.33,8.79,11.21,4,40.12
Uruguay,2013,7.29,9.5,8.83,10.92,4,40.54
USSR,1984,7.88,9,NA,NA,NA,16.88
USSR,1985,8.46,9,7.5,13,NA,37.96
USSR,1986,7.5,7.67,7.58,12,NA,34.75
USSR,1987,6.58,6.5,6.13,10.92,NA,30.13
USSR,1988,7.75,6,5.75,12.54,NA,32.04
USSR,1989,7.33,6.17,5.88,12.04,NA,31.42
USSR,1990,6.46,7,5.96,10.96,NA,30.38
USSR,1991,6.17,6.67,5.5,10.88,NA,29.22
USSR,1992,NA,NA,NA,NA,NA,0
USSR,1993,NA,NA,NA,NA,NA,0
USSR,1994,NA,NA,NA,NA,NA,0
USSR,1995,NA,NA,NA,NA,NA,0
USSR,1996,NA,NA,NA,NA,NA,0
USSR,1997,NA,NA,NA,NA,NA,0
USSR,1998,NA,NA,NA,NA,NA,0
USSR,1999,NA,NA,NA,NA,NA,0
USSR,2000,NA,NA,NA,NA,NA,0
USSR,2001,NA,NA,NA,NA,NA,0
USSR,2002,NA,NA,NA,NA,NA,0
USSR,2003,NA,NA,NA,NA,NA,0
USSR,2004,NA,NA,NA,NA,NA,0
USSR,2005,NA,NA,NA,NA,NA,0
USSR,2006,NA,NA,NA,NA,NA,0
USSR,2007,NA,NA,NA,NA,NA,0
USSR,2008,NA,NA,NA,NA,NA,0
USSR,2009,NA,NA,NA,NA,NA,0
USSR,2010,NA,NA,NA,NA,NA,0
USSR,2011,NA,NA,NA,NA,NA,0
USSR,2012,NA,NA,NA,NA,NA,0
USSR,2013,NA,NA,NA,NA,NA,0
Venezuela,1984,3.86,4.21,5.5,12.63,4.88,31.08
Venezuela,1985,5.21,4,7.83,13.33,4.92,35.29
Venezuela,1986,4.54,2.75,5.83,13.08,5,31.2
Venezuela,1987,4.75,3.08,5.25,10.96,4.71,28.75
Venezuela,1988,6.38,5.08,5.38,10.79,4.46,32.09
Venezuela,1989,6.13,4.92,5.33,10.08,3.29,29.75
Venezuela,1990,6.38,5.75,5.88,11.21,4.21,33.43
Venezuela,1991,8,7.75,7.33,13.58,3.75,40.41
Venezuela,1992,7.29,6.67,7.71,12.29,3.46,37.42
Venezuela,1993,7,7,7.5,10.58,2.54,34.62
Venezuela,1994,6.42,7,7.54,11.21,2.71,34.88
Venezuela,1995,4.92,7.42,7.5,13.42,3,36.26
Venezuela,1996,4.92,7.83,7.75,13.58,2.42,36.5
Venezuela,1997,6,7.21,8,13.92,2.5,37.63
Venezuela,1998,5.13,8.42,7.96,13.83,3.54,38.88
Venezuela,1999,6.79,8.75,6.13,11.83,4,37.5
Venezuela,2000,7,8.25,7.17,13.46,4,39.88
Venezuela,2001,7.5,9.58,8,14.58,3.5,43.16
Venezuela,2002,7.5,4.04,8,13.13,3.5,36.17
Venezuela,2003,7.17,4.58,8,14.83,3.5,38.08
Venezuela,2004,6.38,1.54,8,15,5,35.92
Venezuela,2005,6.75,9.58,8.5,14.42,4.75,44
Venezuela,2006,7.71,9.25,9.5,14.71,4.5,45.67
Venezuela,2007,7.79,6.67,9.71,14.79,4.29,43.25
Venezuela,2008,7.5,8.92,10,14.5,3.88,44.8
Venezuela,2009,7.42,10,9.83,12.58,3.67,43.5
Venezuela,2010,8.5,1.08,9.5,13.33,3.79,36.2
Venezuela,2011,7.88,10,9.5,14.71,3.08,45.17
Venezuela,2012,7,10,9.5,14.83,2.5,43.83
Venezuela,2013,6.75,4.04,9.5,13.58,2.42,36.29
Vietnam,1984,NA,NA,NA,NA,NA,0
Vietnam,1985,3.08,5.83,NA,NA,NA,8.91
Vietnam,1986,2.08,5,NA,NA,NA,7.08
Vietnam,1987,2,4.17,NA,NA,NA,6.17
Vietnam,1988,2,4,NA,NA,NA,6
Vietnam,1989,2,4,NA,NA,NA,6
Vietnam,1990,2,4,NA,NA,NA,6
Vietnam,1991,2,3.75,NA,NA,NA,5.75
Vietnam,1992,3.13,3,NA,NA,NA,6.13
Vietnam,1993,3.5,3,NA,NA,NA,6.5
Vietnam,1994,3.5,3,NA,NA,NA,6.5
Vietnam,1995,3.5,3,NA,NA,NA,6.5
Vietnam,1996,4.58,3.58,9.39,9.72,1.38,28.65
Vietnam,1997,4.83,5.71,9.13,10.5,1,31.17
Vietnam,1998,2.67,8.13,9.33,9.5,1,30.63
Vietnam,1999,1,9.42,9.46,8.46,1,29.34
Vietnam,2000,0.5,10,9.5,11.67,1,32.67
Vietnam,2001,4,9.92,8.5,12.17,1.33,35.92
Vietnam,2002,4,10,8.5,12,1.5,36
Vietnam,2003,5.83,10,8.5,11.96,1.5,37.79
Vietnam,2004,6.42,10,9.33,11.5,1.5,38.75
Vietnam,2005,6.92,10,9.5,11.5,1.5,39.42
Vietnam,2006,6.58,10,9.5,11.79,1.5,39.37
Vietnam,2007,6.5,10,9.54,12,1.5,39.54
Vietnam,2008,6.83,9.96,10,11.54,1.5,39.83
Vietnam,2009,7.33,9.25,10,11.67,1.83,40.08
Vietnam,2010,7.63,9.38,10,11.75,2,40.76
Vietnam,2011,7,9.25,10,11.33,2,39.58
Vietnam,2012,6.21,9.92,10,11.79,1.42,39.34
Vietnam,2013,5.75,10,10,12.58,1.04,39.37
West Germany,1984,9.14,9.38,9,12.5,3.04,43.06
West Germany,1985,9.08,9,9,12.79,2.96,42.83
West Germany,1986,10,10,8.83,13.29,2.5,44.62
West Germany,1987,10,10,8.5,13.21,2.75,44.46
West Germany,1988,10,10,8.75,13.5,2.79,45.04
West Germany,1989,10,10,8.79,13.5,2.08,44.37
West Germany,1990,10,10,8.78,13.5,1.61,43.89
West Germany,1991,NA,NA,NA,NA,NA,0
West Germany,1992,NA,NA,NA,NA,NA,0
West Germany,1993,NA,NA,NA,NA,NA,0
West Germany,1994,NA,NA,NA,NA,NA,0
West Germany,1995,NA,NA,NA,NA,NA,0
West Germany,1996,NA,NA,NA,NA,NA,0
West Germany,1997,NA,NA,NA,NA,NA,0
West Germany,1998,NA,NA,NA,NA,NA,0
West Germany,1999,NA,NA,NA,NA,NA,0
West Germany,2000,NA,NA,NA,NA,NA,0
West Germany,2001,NA,NA,NA,NA,NA,0
West Germany,2002,NA,NA,NA,NA,NA,0
West Germany,2003,NA,NA,NA,NA,NA,0
West Germany,2004,NA,NA,NA,NA,NA,0
West Germany,2005,NA,NA,NA,NA,NA,0
West Germany,2006,NA,NA,NA,NA,NA,0
West Germany,2007,NA,NA,NA,NA,NA,0
West Germany,2008,NA,NA,NA,NA,NA,0
West Germany,2009,NA,NA,NA,NA,NA,0
West Germany,2010,NA,NA,NA,NA,NA,0
West Germany,2011,NA,NA,NA,NA,NA,0
West Germany,2012,NA,NA,NA,NA,NA,0
West Germany,2013,NA,NA,NA,NA,NA,0
Yemen,1984,NA,NA,NA,NA,NA,0
Yemen,1985,NA,NA,NA,NA,NA,0
Yemen,1986,NA,NA,NA,NA,NA,0
Yemen,1987,NA,NA,NA,NA,NA,0
Yemen,1988,NA,NA,NA,NA,NA,0
Yemen,1989,NA,NA,NA,NA,NA,0
Yemen,1990,3.5,5,7,10,1,26.5
Yemen,1991,3.25,5,5.83,3.83,1,18.91
Yemen,1992,4.54,7,7.58,2.29,1,22.41
Yemen,1993,5,7,8.67,7.25,1,28.92
Yemen,1994,4.46,7,9.63,8.92,1,31.01
Yemen,1995,4,7,9.79,9.17,1,30.96
Yemen,1996,4.5,7,9.08,10.79,1.33,32.7
Yemen,1997,4.17,7.5,7,11.17,0.92,30.76
Yemen,1998,3.5,9.96,7,11.5,2,33.96
Yemen,1999,3.5,8.46,7,12.21,1.17,32.34
Yemen,2000,0.5,8.13,7,12.5,1,29.13
Yemen,2001,3.5,9.54,7,12.5,1,33.54
Yemen,2002,4.5,9.75,7,12.5,1,34.75
Yemen,2003,4.5,9.92,7,12.5,1,34.92
Yemen,2004,4.5,10,7,12.5,1,35
Yemen,2005,4.5,10,7,12.5,4.5,38.5
Yemen,2006,4.5,10,7,12.5,4.5,38.5
Yemen,2007,6.71,10,7.46,10.79,4.04,39
Yemen,2008,6.58,10,7.5,10.83,4.21,39.12
Yemen,2009,6.5,10,7.5,12.13,4.38,40.51
Yemen,2010,7,9.21,7.25,11.5,4,38.96
Yemen,2011,6.88,10,7,10.79,3.71,38.38
Yemen,2012,7.33,10,8,11.67,3.5,40.5
Yemen,2013,7.5,10,10,12.33,3.33,43.16
Zambia,1984,3.34,4,6.42,9,0,22.76
Zambia,1985,4.42,4.25,6.17,10.08,0,24.92
Zambia,1986,4.63,5,6.96,10.79,0,27.38
Zambia,1987,3.13,3.08,6.13,9.38,0,21.72
Zambia,1988,2.46,2.08,9,7,0,20.54
Zambia,1989,2,3.42,9,8.96,0,23.38
Zambia,1990,2.25,4.17,8.5,10.42,0,25.34
Zambia,1991,2.83,5,8.5,10.04,0,26.37
Zambia,1992,3.13,5,8.5,9.21,0,25.84
Zambia,1993,4,5,8,8.88,0,25.88
Zambia,1994,4,5,7,10.25,0,26.25
Zambia,1995,4,4.92,5.08,11.17,0,25.17
Zambia,1996,4.71,5,5.42,11.5,0,26.63
Zambia,1997,3.17,6.58,4.21,11,0,24.96
Zambia,1998,0.42,4.63,6.83,10.5,0,22.38
Zambia,1999,0.33,5.29,6,10.13,0.42,22.17
Zambia,2000,0.21,5.96,6.58,10.25,0,23
Zambia,2001,0.5,7.67,7.5,10.04,0,25.71
Zambia,2002,0.5,6.75,7.5,6.25,0,21
Zambia,2003,0.5,9,8.13,6.13,0,23.76
Zambia,2004,0.5,10,7,9.67,0,27.17
Zambia,2005,1.08,9.79,7.88,9.21,0,27.96
Zambia,2006,1.83,7.71,8.58,9.58,0.67,28.37
Zambia,2007,3.33,7.79,9.33,9.33,1,30.78
Zambia,2008,5.88,8.83,9.75,10.38,1,35.84
Zambia,2009,7.75,5.13,10,11.75,1,35.63
Zambia,2010,8.17,9.58,10,9.67,2.5,39.92
Zambia,2011,9,9.79,10,12.25,2.5,43.54
Zambia,2012,9,9.33,10,12.75,1.5,42.58
Zambia,2013,9,9.67,10,13,1.5,43.17
Zimbabwe,1984,5.45,4.79,7.63,9.75,0,27.62
Zimbabwe,1985,6,5,6.67,10.67,0,28.34
Zimbabwe,1986,5.25,4.5,6,11,0,26.75
Zimbabwe,1987,4.5,3.58,6.96,12.13,0,27.17
Zimbabwe,1988,4.5,3.08,7.5,12,0,27.08
Zimbabwe,1989,4.5,3,8,12.33,0,27.83
Zimbabwe,1990,4.83,3,7.21,11.63,0,26.67
Zimbabwe,1991,4.92,4.08,7.17,10.08,0,26.25
Zimbabwe,1992,4.96,5,6.92,7.58,0,24.46
Zimbabwe,1993,6,5,7.33,7.25,0,25.58
Zimbabwe,1994,6,5,6.67,10.63,0,28.3
Zimbabwe,1995,5.5,5,7.13,11.58,0,29.21
Zimbabwe,1996,4,5,7.29,11.92,0.17,28.38
Zimbabwe,1997,3.67,5.71,7.25,11,0.58,28.21
Zimbabwe,1998,4.42,1.96,7.92,8.71,0.5,23.51
Zimbabwe,1999,3.5,3.13,7,11.46,0,25.09
Zimbabwe,2000,2.75,8.08,6.96,11.58,0,29.37
Zimbabwe,2001,3.33,6.38,5.17,10.54,0,25.42
Zimbabwe,2002,3.5,10,5,11,0,29.5
Zimbabwe,2003,2.42,2.5,7.96,10.46,0,23.34
Zimbabwe,2004,0.67,0,9.08,9.33,0,19.08
Zimbabwe,2005,3,2.21,9,10.08,0,24.29
Zimbabwe,2006,3.33,0.83,9.42,11.33,0,24.91
Zimbabwe,2007,3,4.17,9.08,11.5,0,27.75
Zimbabwe,2008,2,0.83,9.17,10.92,0,22.92
Zimbabwe,2009,0.08,1.92,9.75,8.08,0,19.83
Zimbabwe,2010,0.42,9.83,8.25,8.33,0,26.83
Zimbabwe,2011,0,9.96,7,7.13,0,24.09
Zimbabwe,2012,1.33,10,8,7.92,0,27.25
Zimbabwe,2013,2,10,8.5,8.38,0,28.88
